cut,ano,mes,model,n,wape,mae,rmse,y_sum,pred_sum
2024-07,2024,7,climatology_state,30,1.457326892109501,0.5829307568438005,1.1150110092496734,12.0,10.289855072463773
2024-07,2024,7,historical_mean_3y,30,1.8333333333333337,0.7333333333333335,1.6261747890200624,12.0,20.000000000000004
2024-07,2024,7,xgboost_poisson_flat,30,1.410715785308316,0.5642863141233264,1.0222868328319024,12.0,14.289724596317747
2024-07,2024,7,xgboost_poisson_municipal,30,1.6079313142774236,0.6431725257109695,1.1056674037521395,12.0,16.16637877498651
2024-07,2024,7,glm_poisson,30,1.6230678122988156,0.6492271249195263,1.1155190161196566,12.0,13.835482081519427
2024-07,2024,7,tweedie_p1.5,30,1.5169052713155935,0.6067621085262374,1.1104322183521655,12.0,11.729125294452215
2024-07,2024,7,random_forest_100,30,1.2454594734565736,0.49818378938262947,1.0832832631054146,12.0,9.55965395238863
2024-08,2024,8,naive_lag12,22,1.0,2.8636363636363638,3.6618425565677875,63.0,42.0
2024-08,2024,8,climatology_municipal,22,0.7343411438649533,2.102886002886003,3.0915622714083204,63.0,28.59206349206349
2024-08,2024,8,climatology_state,22,0.8427246512352895,2.4132569558101475,3.8096076354011457,63.0,23.00818330605565
2024-08,2024,8,historical_mean_3y,22,0.8095238095238096,2.3181818181818183,3.188521078284832,63.0,33.33333333333333
2024-08,2024,8,xgboost_poisson_flat,22,0.6319149727633947,1.8095746947315392,2.5114259391269553,63.0,35.34880013862067
2024-08,2024,8,xgboost_poisson_municipal,22,0.6323825135143873,1.8109135614275638,2.57648967336833,63.0,33.21423723855969
2024-08,2024,8,glm_poisson,22,0.8338749545177955,2.387914642482778,3.7136138281588886,63.0,25.212152100405795
2024-08,2024,8,tweedie_p1.5,22,0.8356529961043728,2.3930063070261585,3.783786503604525,63.0,22.160292744552034
2024-08,2024,8,random_forest_100,22,0.7254010807512776,2.077284913060477,2.8815893333556146,63.0,23.108679019310582
2024-09,2024,9,naive_lag12,22,0.7685185185185185,3.772727272727273,6.1901681575044325,108.0,117.0
2024-09,2024,9,climatology_municipal,22,0.650139623750735,3.191594516594517,4.818863036925137,108.0,62.71825396825397
2024-09,2024,9,climatology_state,22,0.814814814814815,4.000000000000001,5.457805003577482,108.0,55.03571428571429
2024-09,2024,9,historical_mean_3y,22,0.7098765432098766,3.484848484848485,5.004038772871773,108.0,80.66666666666666
2024-09,2024,9,xgboost_poisson_flat,22,0.712726905763006,3.498841173745666,4.710778378644907,108.0,82.98403434808034
2024-09,2024,9,xgboost_poisson_municipal,22,0.6602540864469519,3.241247333466855,4.624526864787574,108.0,73.33477802866486
2024-09,2024,9,glm_poisson,22,0.7564240745306434,3.713354547695886,4.953563975397513,108.0,65.8312619969882
2024-09,2024,9,tweedie_p1.5,22,0.7508524220580063,3.686002799193849,5.011115532217109,108.0,61.26481110130556
2024-09,2024,9,random_forest_100,22,0.7253594269409965,3.5608553686194373,5.111864178391124,108.0,72.66424218676386
2024-10,2024,10,naive_lag12,22,0.8044280442804428,9.909090909090908,12.670653280137316,271.0,375.0
2024-10,2024,10,climatology_municipal,22,0.524134598488842,6.456385281385281,9.994368557096612,271.0,189.62142857142857
2024-10,2024,10,climatology_state,22,0.8085466015950481,9.95982404692082,16.63168809554184,271.0,155.2774193548387
2024-10,2024,10,historical_mean_3y,22,0.38499384993849944,4.742424242424243,7.253351715662982,271.0,242.6666666666667
2024-10,2024,10,xgboost_poisson_flat,22,0.5137791742842581,6.328825283228816,8.331501636320839,271.0,325.15971155842317
2024-10,2024,10,xgboost_poisson_municipal,22,0.46387765833912936,5.71412933681382,7.641132603640415,271.0,308.94537554955593
